Restaurant ,Category,Item_Name ,Item_Description,Calories,Carbs,Fat,Protein,Fiber,TransFat,Sodium,Sugar
Dominos,Pizza,"Domino's American Legends, Extra Large","Domino's American Legends, Extra Large: Cali Chicken Bacon Ranch, BBQ Chicken, Buffalo Chicken Fiery Hawaiian, Honolulu Hawaiian, Philly Cheese Steak, Pacific Veggie",4580,414,277,179,24,5,11130,71
Dominos,Pizza,"Feast Pizzas, Hand Tossed, Extra Large","Feast Pizzas, Hand Tossed, Extra Large: America's Favorite Deluxe, Bacon Cheeseburger, ExtravaganZZa, MeatZZa, Ultimate Pepperoni",4580,414,277,179,24,5,11130,71
LongHorn Steakhouse,Entrees,Porterhouse for 2,"Porterhouse for 2, Legendary Steaks, 30 oz",1350,0,80,157,0,4.5,2680,0
Dominos,Pizza,"Domino's American Legends, Large","Domino's American Legends, Large; Choice of: Cali Chicken Bacon Ranch, BBQ Chicken, Buffalo Chicken Fiery Hawaiian, Honolulu Hawaiian, Philly Cheese Steak, Pacific Veggie",3770,339,225,136,38,4.5,9290,50
Dominos,Pizza,"Feast Pizzas, Hand Tossed, Large","Feast Pizzas, Hand Tossed, Large: America's Favorite Deluxe, Bacon Cheeseburger, ExtravaganZZa, MeatZZa, Ultimate Pepperoni",3770,339,225,136,38,4.5,9290,50
Outback Steakhouse,Entrees,"Wood Fired Herb Roasted Prime Rib, 16 oz","Wood Fired Herb Roasted Prime Rib, 16 oz, Signature Steaks",876,1,32,136,0,0,1923,0
Outback Steakhouse,Entrees,"Herb Roasted Prime Rib, 16 oz","Herb Roasted Prime Rib, 16 oz, Signature Steaks",832,1,28,136,0,0,1224,0
Culver's,Entrees,4 Piece Fresh Fried Chicken Meal w/ Sides,"4 Piece Fresh Fried Chicken Meal, Wing, Thigh, Leg & Breast, w/ Butter, Cole Slaw, Crinkle Cut Fries & Dinner Roll",2048,119,114,125,5,2,3682,15
Ruby Tuesday,Entrees,Chicken & Broccoli Pasta w/ Linguini,"Chicken & Broccoli Pasta w/ Linguini, Select Restaurants Only",1674,80,96,123,7,0,2779,0
Romano's Macaroni Grill,Entrees,Chianti BBQ Steak,"Chianti BBQ Steak, Carne",1920,81,121,120,9,0.5,3130,0
